type,n_flows,replicate,ELBO,k_hat,params
Mean-field,NaN,1,-33.406,0.871,20
Full-rank,NaN,1,-32.598,0.8226,110
Planar,4,1,-33.333678,0.854041,85
Planar,4,2,-33.29017,0.83078,85
Planar,4,3,-33.295423,0.83613,85
Planar,8,1,-33.0021179,0.799618,169
Planar,8,2,-33.02491025,0.805192,169
Planar,8,3,-32.75483677,0.79955,169
Planar,16,1,-32.15886257,0.703415,337
Planar,16,2,-32.20699044,0.71753,337
Planar,16,3,-32.37607504,0.759693,337
Planar,32,1,-31.90787394,0.702182,673
Planar,32,2,-31.81322487,0.618027,673
Planar,32,3,-31.79322684,0.630491,673
Radial,4,1,-37.73093813,0.894571,58
Radial,4,2,-37.72334264,0.887873,58
Radial,4,3,-37.74561832,0.915972,58
Radial,8,1,-37.68271814,0.881464,106
Radial,8,2,-37.64903258,0.902192,106
Radial,8,3,-37.66266767,0.900527,106
Radial,16,1,-35.87710003,0.888573,202
Radial,16,2,-32.54235862,0.762895,202
Radial,16,3,-34.95783808,0.863568,202
Radial,32,1,-32.10427305,0.665602,394
Radial,32,2,-32.45335997,0.778441,394
Radial,32,3,-32.52813079,0.786368,394
Inverse Autoregressive,4,1,-31.476,0.58,63114
Inverse Autoregressive,4,2,-31.63075689,0.590819,63114
Inverse Autoregressive,4,3,-31.46880864,0.529222,63114
Inverse Autoregressive,8,1,-31.548,0.6419,125918
Inverse Autoregressive,8,2,-31.52316263,0.589571,125918
Inverse Autoregressive,8,3,-31.53251312,0.545997,125918
Inverse Autoregressive,16,1,-31.674,0.5494,251526
Inverse Autoregressive,16,2,-31.58847985,0.532136,251526
Inverse Autoregressive,16,3,-31.56938859,0.524531,251526
Inverse Autoregressive,32,1,-31.712,0.4818,502742
Inverse Autoregressive,32,2,-31.66330176,0.48694,502742
Inverse Autoregressive,32,3,-31.64685996,0.520459,502742
