,elbo
0,-10377.020141601562
1,-10194.667846679688
2,-9989.33740234375
3,-9724.700927734375
4,-9410.875
5,-9106.796142578125
6,-8737.0966796875
7,-8349.82958984375
8,-7921.070556640625
9,-7475.3125
10,-7000.773193359375
11,-6433.3350830078125
12,-5856.9715576171875
13,-5220.74609375
14,-4488.986999511719
15,-3711.5336303710938
16,-2951.7984008789062
17,-2132.590087890625
18,-1464.4910583496094
19,-1152.6302642822266
20,-1591.8406066894531
21,-1668.475830078125
22,-1312.8032836914062
23,-994.2625732421875
24,-834.4978485107422
25,-757.5807647705078
26,-760.2887191772461
27,-760.4649353027344
28,-773.5771942138672
29,-728.8285217285156
30,-720.4676666259766
31,-671.0134124755859
32,-632.056396484375
33,-587.3046569824219
34,-530.9174499511719
35,-488.595458984375
36,-483.7730407714844
37,-459.48583984375
38,-447.453369140625
39,-461.50292205810547
40,-445.3962936401367
41,-426.4249076843262
42,-421.09325218200684
43,-368.9172534942627
44,-347.8971519470215
45,-333.4807662963867
46,-283.00408935546875
47,-272.62982177734375
48,-277.4093780517578
49,-237.35198974609375
50,-216.25491333007812
51,-186.6142578125
52,-200.56134033203125
53,-235.15977478027344
54,-169.68020629882812
55,-138.09793090820312
56,-127.90443420410156
57,-159.61904907226562
58,-132.88967895507812
59,-141.64028930664062
60,-163.61891174316406
61,-151.17062377929688
62,-114.3463134765625
63,-141.85443115234375
64,-160.18704223632812
65,-106.90087890625
66,-133.57772827148438
67,-152.31985473632812
68,-182.072998046875
69,-160.6265869140625
70,-201.82998657226562
71,-136.2784423828125
72,-142.82183837890625
73,-145.07879638671875
74,-136.9635009765625
75,-128.33584594726562
76,-171.69287109375
77,-137.646728515625
78,-136.34423828125
79,-138.353271484375
80,-147.22018432617188
81,-126.36273193359375
82,-110.69525146484375
83,-128.4547119140625
84,-80.828857421875
85,-117.28546142578125
86,-87.36372375488281
87,-54.113128662109375
88,-50.37663269042969
89,-54.140960693359375
90,-56.08502197265625
91,-59.91526794433594
92,-11.499740600585938
93,-80.37455749511719
94,-51.09126281738281
95,-23.238494873046875
96,2.9801025390625
97,-19.615493774414062
98,-5.314971923828125
99,-30.432403564453125
100,22.009231567382812
101,-26.709945678710938
102,8.925979614257812
103,-8.779861450195312
104,13.25213623046875
105,34.429107666015625
106,-2.1518096923828125
107,45.9302978515625
108,46.669525146484375
109,21.003387451171875
110,29.3785400390625
111,41.91215515136719
112,45.8721923828125
113,3.5786895751953125
114,48.89924621582031
115,28.515213012695312
116,25.440139770507812
117,14.741775512695312
118,57.73109436035156
119,61.0755615234375
120,18.972518920898438
121,27.680923461914062
122,22.994659423828125
123,47.95710754394531
124,54.864501953125
125,62.46296691894531
126,51.69091796875
127,40.23634338378906
128,58.224029541015625
129,30.796737670898438
130,42.05101013183594
131,63.55230712890625
132,67.27525329589844
133,68.2474365234375
134,79.02767944335938
135,60.98297119140625
136,84.51972961425781
137,55.48345947265625
138,54.83906555175781
139,58.813568115234375
140,62.3380126953125
141,73.21855163574219
142,74.63542175292969
143,94.42498779296875
144,56.663330078125
145,88.7978515625
146,53.03956604003906
147,80.74708557128906
148,117.53999328613281
149,59.11480712890625
150,66.7052001953125
151,103.45819091796875
152,126.85194396972656
153,96.23881530761719
154,115.14033508300781
155,81.86711120605469
156,95.47276306152344
157,105.90365600585938
158,85.83819580078125
159,81.55412292480469
160,58.27357482910156
161,92.34184265136719
162,86.25331115722656
163,94.51139831542969
164,108.37315368652344
165,102.60902404785156
166,99.49134826660156
167,90.20291137695312
168,94.05563354492188
169,98.478759765625
170,88.5107421875
171,84.8515625
172,81.89688110351562
173,81.67192077636719
174,97.43679809570312
175,91.62847900390625
176,108.65318298339844
177,87.39317321777344
178,95.68858337402344
179,82.41896057128906
180,85.52140808105469
181,77.15922546386719
182,102.06260681152344
183,82.13444519042969
184,114.33258056640625
185,76.48484802246094
186,103.27035522460938
187,85.70709228515625
188,94.62297058105469
189,107.71931457519531
190,62.34294128417969
191,81.50189208984375
192,84.50552368164062
193,94.27690124511719
194,75.3896484375
195,93.26864624023438
196,100.284912109375
197,98.92427062988281
198,82.58749389648438
199,94.31575012207031
200,58.59428405761719
201,88.07707214355469
202,95.45318603515625
203,87.51119995117188
204,67.63116455078125
205,118.15475463867188
206,116.7672119140625
207,91.22747802734375
208,97.53453063964844
209,91.55258178710938
210,83.10223388671875
211,96.60661315917969
212,102.03887939453125
213,103.80601501464844
214,80.26759338378906
215,86.7244873046875
216,67.92294311523438
217,96.88136291503906
218,97.37538146972656
219,108.91355895996094
220,103.04214477539062
221,89.97380065917969
222,81.09860229492188
223,108.05422973632812
224,87.2242431640625
225,101.44563293457031
226,107.58888244628906
227,78.6868896484375
228,78.79817199707031
229,79.9254150390625
230,95.18498229980469
231,90.65675354003906
232,96.7535400390625
233,81.56819152832031
234,64.08233642578125
235,111.36065673828125
236,99.17530822753906
237,96.46282958984375
238,107.87130737304688
239,107.16375732421875
240,101.39971923828125
241,94.87113952636719
242,105.66543579101562
243,92.01898193359375
244,82.55197143554688
245,98.73350524902344
246,94.74311828613281
247,104.72175598144531
248,108.31137084960938
249,75.63815307617188
250,82.13093566894531
251,98.08816528320312
252,94.7396240234375
253,70.8837890625
254,102.93531799316406
255,107.80906677246094
256,98.42080688476562
257,119.60110473632812
258,82.31063842773438
259,103.84846496582031
260,87.37557983398438
261,103.96389770507812
262,107.75418090820312
263,117.29969787597656
264,75.64349365234375
265,99.30616760253906
266,111.54487609863281
267,93.86428833007812
268,119.99769592285156
269,116.29234313964844
270,97.57228088378906
271,71.43646240234375
272,57.60939025878906
273,83.36604309082031
274,114.87702941894531
275,90.64376831054688
276,88.095947265625
277,99.00149536132812
278,76.52458190917969
279,92.75303649902344
280,97.55805969238281
281,94.31788635253906
282,98.37258911132812
283,110.19575500488281
284,116.29312133789062
285,89.33840942382812
286,74.74330139160156
287,98.64041137695312
288,113.79100036621094
289,116.75178527832031
290,92.61842346191406
291,107.08207702636719
292,130.30409240722656
293,101.25
294,94.76341247558594
295,118.087890625
296,94.133056640625
297,101.30099487304688
298,70.55500793457031
299,88.97200012207031
300,105.41175842285156
301,107.77474975585938
302,78.65019226074219
303,98.40713500976562
304,115.86582946777344
305,119.65008544921875
306,93.50390625
307,109.66596984863281
308,112.46134948730469
309,93.96784973144531
310,70.49433898925781
311,84.16450500488281
312,86.388671875
313,102.80162048339844
314,90.5843505859375
315,88.15324401855469
316,101.29153442382812
317,95.67424011230469
318,119.99971008300781
319,119.48341369628906
320,103.06124877929688
321,100.82937622070312
322,121.3587646484375
323,104.51846313476562
324,103.79212951660156
325,108.88493347167969
326,109.93971252441406
327,98.63308715820312
328,103.68601989746094
329,112.65116882324219
330,65.07789611816406
331,99.91569519042969
332,88.90884399414062
333,83.09843444824219
